REPOSITORY                                      TAG                                    IMAGE ID       CREATED         SIZE
<none>                                          <none>                                 2a313512b74c   25 hours ago    537MB
erlang                                          25                                     6a820fd52e96   25 hours ago    1.46GB
erlang                                          25.3                                   6a820fd52e96   25 hours ago    1.46GB
erlang                                          25.3.2                                 6a820fd52e96   25 hours ago    1.46GB
erlang                                          25.3.2.3                               6a820fd52e96   25 hours ago    1.46GB
elixir                                          1.7-slim                               dd0b0e940151   25 hours ago    266MB
elixir                                          1.7.4-slim                             dd0b0e940151   25 hours ago    266MB
elixir                                          1.7                                    51ca78589064   25 hours ago    1.23GB
elixir                                          1.7.4                                  51ca78589064   25 hours ago    1.23GB
elixir                                          1.8-otp-22-alpine                      3fd3dad60683   25 hours ago    83.2MB
elixir                                          1.8.2-otp-22-alpine                    3fd3dad60683   25 hours ago    83.2MB
elixir                                          1.8-slim                               925ce4698ff1   25 hours ago    266MB
elixir                                          1.8.2-slim                             925ce4698ff1   25 hours ago    266MB
elixir                                          1.8                                    8900e26004d4   26 hours ago    1.23GB
elixir                                          1.8.2                                  8900e26004d4   26 hours ago    1.23GB
elixir                                          1.9-alpine                             ed9b177c633f   26 hours ago    83.7MB
elixir                                          1.9.4-alpine                           ed9b177c633f   26 hours ago    83.7MB
elixir                                          1.10-alpine                            452bb785a066   26 hours ago    84.6MB
elixir                                          1.10.4-alpine                          452bb785a066   26 hours ago    84.6MB
elixir                                          1.14-otp-24                            44db4ba354e5   26 hours ago    1.47GB
elixir                                          1.14.5-otp-24                          44db4ba354e5   26 hours ago    1.47GB
<none>                                          <none>                                 242e29e35440   26 hours ago    274MB
<none>                                          <none>                                 5ac173527340   27 hours ago    269MB
<none>                                          <none>                                 603bb61bc194   27 hours ago    265MB
<none>                                          <none>                                 226330151f6f   27 hours ago    7.57MB
<none>                                          <none>                                 0fa1ea8e8e18   27 hours ago    7.85MB
golang                                          1.19-bullseye                          ca423ed32b3b   27 hours ago    992MB
golang                                          1.19.11-bullseye                       ca423ed32b3b   27 hours ago    992MB
golang                                          1.19-bookworm                          bcc1ac1dc07e   27 hours ago    1.06GB
golang                                          1.19.11-bookworm                       bcc1ac1dc07e   27 hours ago    1.06GB
golang                                          1-alpine3.17                           d6b84ce5afe0   27 hours ago    254MB
golang                                          1.20-alpine3.17                        d6b84ce5afe0   27 hours ago    254MB
golang                                          1.20.6-alpine3.17                      d6b84ce5afe0   27 hours ago    254MB
golang                                          alpine3.17                             d6b84ce5afe0   27 hours ago    254MB
<none>                                          <none>                                 79d071de7ec3   27 hours ago    7.85MB
golang                                          1-bullseye                             234248078c35   27 hours ago    777MB
golang                                          1.20-bullseye                          234248078c35   27 hours ago    777MB
golang                                          1.20.6-bullseye                        234248078c35   27 hours ago    777MB
golang                                          bullseye                               234248078c35   27 hours ago    777MB
golang                                          1-bookworm                             e94b39401b38   27 hours ago    845MB
golang                                          1.20-bookworm                          e94b39401b38   27 hours ago    845MB
golang                                          1.20.6-bookworm                        e94b39401b38   27 hours ago    845MB
golang                                          bookworm                               e94b39401b38   27 hours ago    845MB
golang                                          1.21-rc-alpine3.17                     3f85cba67e72   27 hours ago    221MB
golang                                          1.21rc3-alpine3.17                     3f85cba67e72   27 hours ago    221MB
golang                                          1.21-rc-alpine                         ce7ea92b98c8   27 hours ago    221MB
golang                                          1.21-rc-alpine3.18                     ce7ea92b98c8   27 hours ago    221MB
golang                                          1.21rc3-alpine                         ce7ea92b98c8   27 hours ago    221MB
golang                                          1.21rc3-alpine3.18                     ce7ea92b98c8   27 hours ago    221MB
golang                                          1.21-rc-bullseye                       33df2b69613f   27 hours ago    746MB
golang                                          1.21rc3-bullseye                       33df2b69613f   27 hours ago    746MB
golang                                          1.21-rc-bookworm                       3d98a66e2bf0   27 hours ago    814MB
golang                                          1.21rc3-bookworm                       3d98a66e2bf0   27 hours ago    814MB
<none>                                          <none>                                 4ced933ebf5a   27 hours ago    462MB
<none>                                          <none>                                 382612ad856e   27 hours ago    834MB
<none>                                          <none>                                 d3da217207ac   28 hours ago    834MB
<none>                                          <none>                                 f5929bda75f7   28 hours ago    834MB
<none>                                          <none>                                 d3284f6d04b8   28 hours ago    929MB
<none>                                          <none>                                 9e2c3caaddec   28 hours ago    929MB
<none>                                          <none>                                 2e571bca5e5d   28 hours ago    77.2MB
<none>                                          <none>                                 a9cf7ecf35ac   28 hours ago    243MB
<none>                                          <none>                                 e3fff346c255   28 hours ago    243MB
<none>                                          <none>                                 26af6a9be394   28 hours ago    471MB
<none>                                          <none>                                 8806aef5509f   28 hours ago    482MB
<none>                                          <none>                                 ec7ecd9b2ac7   28 hours ago    255MB
<none>                                          <none>                                 af94f525c74a   28 hours ago    58.9MB
<none>                                          <none>                                 72fb10e66440   28 hours ago    269MB
<none>                                          <none>                                 f7ed95664519   28 hours ago    238MB
<none>                                          <none>                                 b0603194a8e5   28 hours ago    269MB
<none>                                          <none>                                 08db6c56677e   28 hours ago    238MB
<none>                                          <none>                                 a90550d8fa9c   28 hours ago    269MB
<none>                                          <none>                                 259c1023092f   29 hours ago    238MB
<none>                                          <none>                                 237e4dafac77   29 hours ago    91MB
erlang                                          20-slim                                58bfa8eb4903   29 hours ago    258MB
erlang                                          20.3-slim                              58bfa8eb4903   29 hours ago    258MB
erlang                                          20.3.8-slim                            58bfa8eb4903   29 hours ago    258MB
erlang                                          20.3.8.26-slim                         58bfa8eb4903   29 hours ago    258MB
erlang                                          20                                     5a1824f36235   29 hours ago    1.22GB
erlang                                          20.3                                   5a1824f36235   29 hours ago    1.22GB
erlang                                          20.3.8                                 5a1824f36235   29 hours ago    1.22GB
erlang                                          20.3.8.26                              5a1824f36235   29 hours ago    1.22GB
erlang                                          21-slim                                0b30643a0708   29 hours ago    250MB
erlang                                          21.3-slim                              0b30643a0708   29 hours ago    250MB
erlang                                          21.3.8-slim                            0b30643a0708   29 hours ago    250MB
erlang                                          21.3.8.24-slim                         0b30643a0708   29 hours ago    250MB
erlang                                          21                                     1e665070ac55   29 hours ago    1.21GB
erlang                                          21.3                                   1e665070ac55   29 hours ago    1.21GB
erlang                                          21.3.8                                 1e665070ac55   29 hours ago    1.21GB
erlang                                          21.3.8.24                              1e665070ac55   29 hours ago    1.21GB
erlang                                          22-alpine                              77d4df612cc0   29 hours ago    69.6MB
erlang                                          22.3-alpine                            77d4df612cc0   29 hours ago    69.6MB
erlang                                          22.3.4-alpine                          77d4df612cc0   29 hours ago    69.6MB
erlang                                          22.3.4.26-alpine                       77d4df612cc0   29 hours ago    69.6MB
elixir                                          1.8-otp-22                             8afce4952c88   29 hours ago    1.23GB
elixir                                          1.8.2-otp-22                           8afce4952c88   29 hours ago    1.23GB
elixir                                          1.9-slim                               611cfe77e1d4   29 hours ago    272MB
elixir                                          1.9.4-slim                             611cfe77e1d4   29 hours ago    272MB
